CODIGO_FILIAL;TICKET;DATA_VENDA;ITEM;TERMINAL;LANCAMENTO_CAIXA;NUMERO_CUPOM_FISCAL;PERIODO_FECHAMENTO;VENDEDOR;VENDEDOR_APELIDO;PRODUTO;DESC_PRODUTO;COR_PRODUTO;TAMANHO;QTDE;QTDE_LIQUIDA;QTDE_TROCA;VALOR_LIQUIDO_VENDA;VALOR_TROCA;VALOR_DESCONTOS;VALOR_PAGO;VALOR_FRETE;VALOR_VENDA_BRUTA;TIPO_PRODUTO;TABELA_MEDIDAS;GRUPO_PRODUTO;SUBGRUPO_PRODUTO;COLECAO;GRADE;LINHA;GRIFFE;CARTELA;REFER_FABRICANTE;MODELAGEM;FABRICANTE;ESTILISTA;MODELISTA;TAM;COD_CATEGORIA;CATEGORIA_PRODUTO;SUBCATEGORIA_PRODUTO;COD_CATEGORIA;CATEGORIA_PRODUTO;SUBCATEGORIA_PRODUTO
4047;7650;21/04/2025;1;1;214P009;6642;1;4452;GISLEY                   ;MODC2007    ;COLLANT RETE GLITTER                    ;5302_V2   ;5;1;1;0;94;0;0;94;0;94;PRODUTO ACABADO          ;;CALZE E COLLANT          ;COLLANT                  ;1;1   XLSHO CLZ COLLANT DON;CALZEDONIA               ;INTIMISSIMI ( IN )       ;      ;MODC2007                 ;;CALZEDONIA S.P.A.        ;                         ;                         ;3/4     ;1;SENHORA                  ;SENHORA                  ;1;SENHORA                  ;SENHORA                  
4047;7688;24/04/2025;3;1;244P00F;6670;1;4741;ANA LÚCIA                ;MODC2029    ;COLLANT REGGICALZE VELATO               ;019       ;2;1;1;0;139;0;0;139;0;139;PRODUTO ACABADO          ;;CALZE E COLLANT          ;COLLANT                  ;1;S   XL CLZ COLLANT DONNA ;CALZEDONIA               ;INTIMISSIMI ( IN )       ;      ;MODC2029                 ;;CALZEDONIA S.P.A.        ;                         ;                         ;M       ;1;SENHORA                  ;SENHORA                  ;1;SENHORA                  ;SENHORA                  
4047;7681;24/04/2025;2;1;244P008;6664;1;4452;GISLEY                   ;MODP1154    ;TUTA LUNGA SEAMLESS                     ;019       ;2;1;1;0;248,69;0;31;24869;0;249;PRODUTO ACABADO          ;;CALZE E COLLANT          ;PANTACOLLANT             ;1;S/M XL CLZ LEGGINGS DONNA;CALZEDONIA               ;INTIMISSIMI ( IN )       ;      ;MODP1154                 ;;CALZEDONIA S.P.A.        ;                         ;                         ;M/L     ;1;SENHORA                  ;SENHORA                  ;1;SENHORA                  ;SENHORA                  
4047;8920;15/07/2025;5;1;157P005;7781;1;4741;ANA LÚCIA                ;MODP1154    ;TUTA LUNGA SEAMLESS                     ;019       ;1;1;1;0;173,56;0;74;17356;0;17430;PRODUTO ACABADO          ;;CALZE E COLLANT          ;PANTACOLLANT             ;1;S/M XL CLZ LEGGINGS DONNA;CALZEDONIA               ;INTIMISSIMI ( IN )       ;      ;MODP1154                 ;;CALZEDONIA S.P.A.        ;                         ;                         ;S/M     ;1;SENHORA                  ;SENHORA                  ;1;SENHORA                  ;SENHORA                  
4047;7952;17/05/2025;1;1;175P004;6897;1;4452;GISLEY                   ;MODP1154    ;TUTA LUNGA SEAMLESS                     ;019       ;1;1;1;0;249;0;0;249;0;249;PRODUTO ACABADO          ;;CALZE E COLLANT          ;PANTACOLLANT             ;1;S/M XL CLZ LEGGINGS DONNA;CALZEDONIA               ;INTIMISSIMI ( IN )       ;      ;MODP1154                 ;;CALZEDONIA S.P.A.        ;                         ;                         ;S/M     ;1;SENHORA                  ;SENHORA                  ;1;SENHORA                  ;SENHORA                  
4047;7461;04/04/2025;1;1;044P003;6487;1;3552;SAMIA                    ;MODP1154    ;TUTA LUNGA SEAMLESS                     ;019       ;1;1;1;0;249;0;0;249;0;249;PRODUTO ACABADO          ;;CALZE E COLLANT          ;PANTACOLLANT             ;1;S/M XL CLZ LEGGINGS DONNA;CALZEDONIA               ;INTIMISSIMI ( IN )       ;      ;MODP1154                 ;;CALZEDONIA S.P.A.        ;                         ;                         ;S/M     ;1;SENHORA                  ;SENHORA                  ;1;SENHORA                  ;SENHORA                  
4047;6879;14/02/2025;1;1;142P009;5973;1;4120;ANA JULIA                ;MODP1154    ;TUTA LUNGA SEAMLESS                     ;019       ;1;1;1;0;248,56;0;44;24856;0;249;PRODUTO ACABADO          ;;CALZE E COLLANT          ;PANTACOLLANT             ;1;S/M XL CLZ LEGGINGS DONNA;CALZEDONIA               ;INTIMISSIMI ( IN )       ;      ;MODP1154                 ;;CALZEDONIA S.P.A.        ;                         ;                         ;S/M     ;1;SENHORA                  ;SENHORA                  ;1;SENHORA                  ;SENHORA                  
4047;6903;16/02/2025;1;1;162P00B;5997;1;4452;GISLEY                   ;MODP1154    ;TUTA LUNGA SEAMLESS                     ;019       ;2;1;1;0;249;0;0;249;0;249;PRODUTO ACABADO          ;;CALZE E COLLANT          ;PANTACOLLANT             ;1;S/M XL CLZ LEGGINGS DONNA;CALZEDONIA               ;INTIMISSIMI ( IN )       ;      ;MODP1154                 ;;CALZEDONIA S.P.A.        ;                         ;                         ;M/L     ;1;SENHORA                  ;SENHORA                  ;1;SENHORA                  ;SENHORA                  
4047;7117;01/03/2025;1;1;013P00D;6186;1;3552;SAMIA                    ;MODP1154    ;TUTA LUNGA SEAMLESS                     ;019       ;1;1;1;0;249;0;0;30;0;249;PRODUTO ACABADO          ;;CALZE E COLLANT          ;PANTACOLLANT             ;1;S/M XL CLZ LEGGINGS DONNA;CALZEDONIA               ;INTIMISSIMI ( IN )       ;      ;MODP1154                 ;;CALZEDONIA S.P.A.        ;                         ;                         ;S/M     ;1;SENHORA                  ;SENHORA                  ;1;SENHORA                  ;SENHORA                  
4047;7177;09/03/2025;6;1;093P007;6238;1;4452;GISLEY                   ;MODP1154    ;TUTA LUNGA SEAMLESS                     ;019       ;2;1;1;0;248,51;0;49;24851;0;249;PRODUTO ACABADO          ;;CALZE E COLLANT          ;PANTACOLLANT             ;1;S/M XL CLZ LEGGINGS DONNA;CALZEDONIA               ;INTIMISSIMI ( IN )       ;      ;MODP1154                 ;;CALZEDONIA S.P.A.        ;                         ;                         ;M/L     ;1;SENHORA                  ;SENHORA                  ;1;SENHORA                  ;SENHORA                  
