CODIGO_FILIAL;TICKET;DATA_VENDA;ITEM;TERMINAL;LANCAMENTO_CAIXA;NUMERO_CUPOM_FISCAL;PERIODO_FECHAMENTO;VENDEDOR;VENDEDOR_APELIDO;PRODUTO;DESC_PRODUTO;COR_PRODUTO;TAMANHO;QTDE;QTDE_LIQUIDA;QTDE_TROCA;VALOR_LIQUIDO_VENDA;VALOR_TROCA;VALOR_DESCONTOS;VALOR_PAGO;VALOR_FRETE;VALOR_VENDA_BRUTA;TIPO_PRODUTO;TABELA_MEDIDAS;GRUPO_PRODUTO;SUBGRUPO_PRODUTO;COLECAO;GRADE;LINHA;GRIFFE;CARTELA;REFER_FABRICANTE;MODELAGEM;FABRICANTE;ESTILISTA;MODELISTA;TAM;COD_CATEGORIA;CATEGORIA_PRODUTO;SUBCATEGORIA_PRODUTO;SUBCATEGORIA_PRODUTO
3044;31194;02/04/2025;14;1;024P005;137;1;3960;CRISLANE                 ;SID92B      ;SLIP SETA E PIZZO                       ;2127      ;4;1;1;0;140,47;0;853;14047;0;149;PRODUTO ACABADO          ;;INTIMO                   ;INTIMO SLIPS             ;2;TAGLIE 1-6 PBD INT       ;INTIMISSIMI              ;INTIMISSIMI ( IN )       ;      ;SID92B                   ;;CALZEDONIA S.P.A.        ;                         ;                         ;4       ;1;SENHORA                  ;SENHORA                  ;SENHORA                  
3044;31194;02/04/2025;18;1;024P005;137;1;3960;CRISLANE                 ;SID92B      ;SLIP SETA E PIZZO                       ;019       ;4;1;1;0;140,47;0;853;14047;0;149;PRODUTO ACABADO          ;;INTIMO                   ;INTIMO SLIPS             ;2;TAGLIE 1-6 PBD INT       ;INTIMISSIMI              ;INTIMISSIMI ( IN )       ;      ;SID92B                   ;;CALZEDONIA S.P.A.        ;                         ;                         ;4       ;1;SENHORA                  ;SENHORA                  ;SENHORA                  
3044;31194;02/04/2025;10;1;024P005;137;1;3960;CRISLANE                 ;SID92B      ;SLIP SETA E PIZZO                       ;019       ;4;1;1;0;140,47;0;853;14047;0;149;PRODUTO ACABADO          ;;INTIMO                   ;INTIMO SLIPS             ;2;TAGLIE 1-6 PBD INT       ;INTIMISSIMI              ;INTIMISSIMI ( IN )       ;      ;SID92B                   ;;CALZEDONIA S.P.A.        ;                         ;                         ;4       ;1;SENHORA                  ;SENHORA                  ;SENHORA                  
3044;31194;02/04/2025;17;1;024P005;137;1;3960;CRISLANE                 ;SID92B      ;SLIP SETA E PIZZO                       ;1467      ;4;1;1;0;140,47;0;853;14047;0;149;PRODUTO ACABADO          ;;INTIMO                   ;INTIMO SLIPS             ;2;TAGLIE 1-6 PBD INT       ;INTIMISSIMI              ;INTIMISSIMI ( IN )       ;      ;SID92B                   ;;CALZEDONIA S.P.A.        ;                         ;                         ;4       ;1;SENHORA                  ;SENHORA                  ;SENHORA                  
3044;30468;01/02/2025;3;1;012P00D;25270;1;3960;CRISLANE                 ;SBD1294     ;BRASILIANO PRETTY FLOWERS               ;9887      ;24;1;1;0;128,79;0;21;12879;0;129;PRODUTO ACABADO          ;;INTIMO                   ;INTIMO SLIPS             ;1;TAGLIE 1-6 PBD INT+CZD   ;INTIMISSIMI              ;INTIMISSIMI ( IN )       ;      ;SBD1294                  ;;CALZEDONIA S.P.A.        ;                         ;                         ;3       ;1;SENHORA                  ;SENHORA                  ;SENHORA                  
3044;33461;01/09/2025;2;1;019P00F;2206;1;3960;CRISLANE                 ;SBD49A      ;BRASILIANO MICRO ULTRA LIGHT            ;001       ;2;1;1;0;78,88;0;12;7888;0;79;PRODUTO ACABADO          ;;INTIMO                   ;INTIMO SLIPS             ;2;TAGLIE 1-6 PBD INT       ;INTIMISSIMI              ;INTIMISSIMI ( IN )       ;      ;SBD49A                   ;;CALZEDONIA S.P.A.        ;                         ;                         ;2       ;1;SENHORA                  ;SENHORA                  ;SENHORA                  
3044;33461;01/09/2025;5;1;019P00F;2206;1;3960;CRISLANE                 ;SPD92A      ;PERIZOMA SETA E PIZZO                   ;019       ;2;1;1;0;148,76;0;24;14876;0;149;PRODUTO ACABADO          ;;INTIMO                   ;INTIMO SLIPS             ;2;TAGLIE 1-6 PBD INT       ;INTIMISSIMI              ;INTIMISSIMI ( IN )       ;      ;SPD92A                   ;;CALZEDONIA S.P.A.        ;                         ;                         ;2       ;1;SENHORA                  ;SENHORA                  ;SENHORA                  
3044;33461;01/09/2025;8;1;019P00F;2206;1;3960;CRISLANE                 ;LBD2563     ;BABYDOLL PIZZO THE SIMPLEST PLEASURES   ;019       ;2;1;1;0;348,45;0;55;34845;0;349;PRODUTO ACABADO          ;;LINGERIE                 ;COMBINACAO               ;1;TAGLIE XS-XXL DONNA INT  ;INTIMISSIMI              ;INTIMISSIMI ( IN )       ;      ;LBD2563                  ;;CALZEDONIA S.P.A.        ;                         ;                         ;S       ;1;SENHORA                  ;SENHORA                  ;SENHORA                  
3044;29859;02/01/2025;2;1;021P009;24729;1;3960;CRISLANE                 ;SID2527     ;SLIP THE MOST ROMANTIC SEASON           ;542J      ;2;1;1;0;49,5;0;0;4950;0;4950;PRODUTO ACABADO          ;;INTIMO                   ;INTIMO SLIPS             ;1;TAGLIE 1-6 PBD INT       ;INTIMISSIMI              ;INTIMISSIMI ( IN )       ;      ;SID2527                  ;;CALZEDONIA S.P.A.        ;                         ;                         ;2       ;1;SENHORA                  ;SENHORA                  ;SENHORA                  
3044;29859;02/01/2025;3;1;021P009;24729;1;3960;CRISLANE                 ;SID2530     ;SLIP CRAFTED ELEGANCE                   ;2127      ;2;1;1;0;49,5;0;0;4950;0;4950;PRODUTO ACABADO          ;;INTIMO                   ;INTIMO SLIPS             ;1;TAGLIE 1-6 PBD INT       ;INTIMISSIMI              ;INTIMISSIMI ( IN )       ;      ;SID2530                  ;;CALZEDONIA S.P.A.        ;                         ;                         ;2       ;1;SENHORA                  ;SENHORA                  ;SENHORA                  
3044;29868;02/01/2025;3;1;021P012;24736;1;3960;CRISLANE                 ;RID2528     ;FRANCESCA ETERNAL FLOWERS               ;543J      ;10;1;1;0;149,5;0;0;14950;0;14950;PRODUTO ACABADO          ;;INTIMO                   ;INTIMO SOUTIENS          ;1;REGGISENI INTI           ;INTIMISSIMI              ;INTIMISSIMI ( IN )       ;      ;RID2528                  ;;CALZEDONIA S.P.A.        ;                         ;                         ;2C      ;1;SENHORA                  ;SENHORA                  ;SENHORA                  
3044;31194;02/04/2025;4;1;024P005;137;1;3960;CRISLANE                 ;SID92B      ;SLIP SETA E PIZZO                       ;163I      ;4;1;1;0;140,47;0;853;14047;0;149;PRODUTO ACABADO          ;;INTIMO                   ;INTIMO SLIPS             ;2;TAGLIE 1-6 PBD INT       ;INTIMISSIMI              ;INTIMISSIMI ( IN )       ;      ;SID92B                   ;;CALZEDONIA S.P.A.        ;                         ;                         ;4       ;1;SENHORA                  ;SENHORA                  ;SENHORA                  
3044;31194;02/04/2025;24;1;024P005;137;1;3960;CRISLANE                 ;RIF49L      ;LAURA MICRO ULTRA LIGHT                 ;2280      ;19;1;1;0;244,17;0;1483;24417;0;259;PRODUTO ACABADO          ;;INTIMO                   ;INTIMO SOUTIENS          ;2;REGGISENI INTI           ;INTIMISSIMI              ;INTIMISSIMI ( IN )       ;      ;RIF49L                   ;;CALZEDONIA S.P.A.        ;                         ;                         ;4B      ;1;SENHORA                  ;SENHORA                  ;SENHORA                  
